sample_index,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,predicted_label
7312,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
3897,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
7659,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
4020,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
2555,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
9754,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
2795,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
9727,-30,-30,-30,-30,-30,-26,-30,-30,-30,30,9
5476,-30,-30,-30,-30,-23,30,-30,-30,-30,-30,5
3994,-30,-30,-30,-30,-30,-30,-30,-15,-30,-30,7
7194,30,-30,-30,-30,-30,-29,-30,-30,-30,-30,0
4133,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
345,-30,-30,-30,-30,-30,-30,-30,-30,-30,29,9
6735,30,-30,-30,-30,-30,-28,-30,-30,-30,-30,0
9050,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
205,-30,-30,-30,-30,-30,23,-30,-30,-30,-30,5
4295,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
657,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
6542,-30,-30,-24,-30,-30,-13,-30,-30,-30,-30,5
2039,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
5798,-30,-30,-30,-30,-30,-30,-30,-30,-30,15,9
6427,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
7243,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
2117,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
3210,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
5903,30,-30,-30,-30,-30,-25,-30,-30,-30,-30,0
7901,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
1895,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
439,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4279,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
9170,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
5243,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
9060,-30,-30,-30,30,-30,7,-30,-30,-30,-30,3
8054,-15,-30,-30,-30,14,-3,-30,-30,-30,-30,4
3676,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
441,-30,-30,30,-30,-30,-23,-30,-30,-30,-30,2
7759,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
8813,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
7222,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
335,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
4248,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
8916,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
7656,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
3942,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
6480,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
7030,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
9899,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
1672,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
3904,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4840,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
6094,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
9005,-30,-30,-30,23,-30,-30,-30,-30,-30,-30,3
4894,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
6295,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
8113,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
9398,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7691,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
6220,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
641,-30,-30,-30,-30,-30,-30,-30,-30,-30,1,9
