sample_index,Class_0,Class_1,predicted_label
0,39,-29,0
1,25,-29,0
2,27,-30,0
3,41,-42,0
4,20,-22,0
5,21,-19,0
6,50,-39,0
7,32,-33,0
8,43,-50,0
9,42,-36,0
10,22,-24,0
11,29,-31,0
12,35,-35,0
13,50,-50,0
14,22,-15,0
15,46,-22,0
16,27,-27,0
17,22,-27,0
18,41,-50,0
19,10,-15,0
20,27,-44,0
21,32,-17,0
22,9,-23,0
23,18,-33,0
24,46,-42,0
25,31,-36,0
26,45,-40,0
27,26,-25,0
28,19,-23,0
29,21,-8,0
30,36,-24,0
31,50,-42,0
32,24,-37,0
33,13,-18,0
34,50,-49,0
35,46,-18,0
36,32,-50,0
37,23,-24,0
38,27,-5,0
39,50,-50,0
40,35,-37,0
41,37,-17,0
42,14,-30,0
43,37,-19,0
44,28,-32,0
45,19,-18,0
46,25,-34,0
47,36,-44,0
48,26,-40,0
49,41,-33,0
50,49,-40,0
51,47,-27,0
52,18,-20,0
53,36,-13,0
54,27,-38,0
55,25,-16,0
56,16,-22,0
57,35,-34,0
58,33,-50,0
59,36,-43,0
60,33,-29,0
61,36,-34,0
62,44,-50,0
63,26,-25,0
64,46,-50,0
65,26,-33,0
66,23,-45,0
67,38,-31,0
68,20,-32,0
69,37,-32,0
70,21,-50,0
71,37,-37,0
72,33,-18,0
73,23,-37,0
74,25,-19,0
75,34,-36,0
76,19,-19,0
77,46,-50,0
78,49,-50,0
79,34,-23,0
80,50,-42,0
81,50,-40,0
82,42,-25,0
83,50,-23,0
84,21,-28,0
85,47,-44,0
86,17,-20,0
87,50,-33,0
88,19,-34,0
89,35,-24,0
90,42,-14,0
91,43,-34,0
92,25,-19,0
93,44,-50,0
94,14,-33,0
95,49,-49,0
96,17,-23,0
97,50,-37,0
98,29,-27,0
99,32,-6,0
100,2,-26,0
101,39,-35,0
102,44,-41,0
103,50,-42,0
104,14,-10,0
105,23,-40,0
106,11,2,0
107,34,-15,0
108,30,-43,0
109,36,-37,0
110,15,-17,0
111,32,-28,0
112,23,-13,0
113,31,-16,0
114,34,-22,0
115,31,-21,0
116,40,-34,0
117,22,-23,0
118,17,-41,0
119,8,-20,0
120,47,-24,0
121,17,-26,0
122,26,-26,0
123,41,-31,0
124,35,-26,0
125,33,-31,0
126,15,-18,0
127,34,-31,0
128,35,-48,0
129,24,-41,0
130,3,-43,0
131,32,-37,0
132,39,-49,0
133,47,-45,0
134,37,-29,0
135,27,-48,0
136,28,-10,0
137,37,-32,0
138,36,-25,0
139,19,-15,0
140,24,-34,0
141,33,-31,0
142,33,-22,0
143,29,-35,0
144,24,-19,0
145,20,-23,0
146,48,-44,0
147,32,-50,0
148,50,-41,0
149,34,-26,0
150,39,-28,0
151,25,-25,0
152,39,-37,0
153,42,-36,0
154,37,-31,0
155,43,-32,0
156,25,-16,0
157,29,4,0
158,35,-25,0
159,50,-50,0
160,27,-38,0
161,23,-18,0
162,31,-28,0
163,38,-30,0
164,46,-50,0
165,18,-44,0
166,30,-16,0
167,8,-42,0
168,27,-40,0
169,16,-20,0
170,28,-26,0
171,43,-34,0
172,31,-30,0
173,22,-15,0
174,38,-13,0
175,21,-42,0
176,25,-41,0
177,30,-38,0
178,34,-34,0
179,44,-44,0
180,39,-39,0
181,50,-27,0
182,28,-30,0
183,23,-9,0
184,40,-22,0
185,50,-50,0
186,14,-21,0
187,41,-27,0
188,33,-37,0
189,49,-43,0
190,22,-30,0
191,33,-16,0
192,18,-25,0
193,30,-17,0
194,31,-22,0
195,42,-39,0
196,31,-13,0
197,29,-23,0
198,36,-23,0
199,41,-24,0
200,34,-24,0
201,38,-50,0
202,33,-37,0
203,21,-20,0
204,28,-13,0
205,35,-33,0
206,42,-49,0
207,50,-40,0
208,50,-49,0
209,29,-33,0
210,43,-33,0
211,50,-50,0
212,14,-35,0
213,33,-36,0
214,34,-43,0
215,1,-21,0
216,40,-27,0
217,26,-14,0
218,50,-49,0
219,32,-33,0
220,22,-12,0
221,30,-30,0
222,28,-17,0
223,41,-38,0
224,44,-50,0
225,43,-20,0
226,24,-20,0
227,25,-37,0
228,38,-24,0
229,23,-36,0
230,11,-23,0
231,26,-29,0
232,41,-41,0
233,22,-14,0
234,32,-32,0
235,34,-50,0
236,11,-19,0
237,13,-23,0
238,27,-31,0
239,34,-4,0
240,50,-50,0
241,25,-21,0
242,42,-36,0
243,46,-31,0
244,18,-33,0
245,19,-26,0
246,20,-37,0
247,50,-43,0
248,21,-5,0
249,27,-46,0
250,42,-50,0
251,40,-32,0
252,28,-28,0
253,36,-28,0
254,18,-50,0
255,45,-50,0
256,-3,-22,0
257,19,-44,0
258,30,-40,0
259,41,-48,0
260,44,-49,0
261,50,-30,0
262,30,-36,0
263,36,-22,0
264,32,-20,0
265,21,-34,0
266,28,-43,0
267,50,-48,0
268,34,-49,0
269,25,-19,0
270,46,-50,0
271,25,-3,0
272,33,-16,0
273,8,-13,0
274,41,-25,0
275,31,-21,0
276,25,-25,0
277,26,-26,0
278,15,-27,0
279,34,-13,0
280,40,-39,0
281,36,-33,0
282,43,-46,0
283,49,-42,0
284,34,-50,0
285,17,-22,0
286,28,-33,0
287,24,-31,0
288,18,-28,0
289,29,-36,0
290,21,-24,0
291,26,-25,0
292,17,-35,0
293,50,-35,0
294,49,-50,0
295,23,-25,0
296,50,-24,0
297,28,-15,0
298,42,-27,0
299,29,-20,0
300,15,-18,0
301,50,-36,0
302,50,-50,0
303,47,-50,0
304,9,-1,0
305,27,-29,0
306,16,-17,0
307,24,-22,0
308,25,-34,0
309,50,-43,0
310,34,-14,0
311,50,-27,0
312,12,-20,0
