sample_index,Class_0,Class_1,predicted_label
0,21,-21,0
1,9,-20,0
2,5,-8,0
3,3,-6,0
4,4,-3,0
5,-2,2,1
6,27,-27,0
7,7,0,0
8,30,-30,0
9,30,-27,0
10,18,-13,0
11,4,-3,0
12,17,-25,0
13,30,-30,0
14,11,-10,0
15,9,-13,0
16,7,-5,0
17,5,-15,0
18,30,-30,0
19,3,-3,0
20,30,-30,0
21,5,-17,0
22,14,-2,0
23,3,-7,0
24,12,-22,0
25,19,-16,0
26,30,-30,0
27,-4,-8,0
28,-2,5,1
29,6,-16,0
30,21,-22,0
31,30,-26,0
32,10,-4,0
33,-4,-1,1
34,30,-30,0
35,23,-25,0
36,30,-30,0
37,7,-6,0
38,-2,-6,0
39,30,-30,0
40,-1,-2,0
41,4,-5,0
42,1,-14,0
43,0,-1,0
44,5,-20,0
45,1,-1,0
46,9,-16,0
47,17,-20,0
48,16,-15,0
49,3,-15,0
50,30,-30,0
51,15,-17,0
52,8,-8,0
53,15,-9,0
54,22,-23,0
55,2,1,0
56,0,-4,0
57,28,-28,0
58,12,-14,0
59,26,-23,0
60,20,-10,0
61,19,0,0
62,17,-19,0
63,3,-7,0
64,22,-23,0
65,14,-13,0
66,-6,0,1
67,23,-24,0
68,14,-14,0
69,13,-14,0
70,14,-25,0
71,30,-30,0
72,8,-12,0
73,19,-26,0
74,6,-2,0
75,13,-13,0
76,5,-5,0
77,21,-22,0
78,30,-30,0
79,-3,-3,0
80,30,-30,0
81,30,-29,0
82,13,-8,0
83,10,-4,0
84,5,-9,0
85,30,-26,0
86,7,-10,0
87,29,-30,0
88,23,-14,0
89,1,-7,0
90,10,-5,0
91,26,-25,0
92,7,-5,0
93,15,-19,0
94,2,-2,0
95,7,-15,0
96,0,-2,0
97,22,-29,0
98,12,-12,0
99,-6,3,1
100,5,-10,0
101,13,-9,0
102,12,-8,0
103,25,-29,0
104,-7,-3,1
105,3,-10,0
106,7,-11,0
107,-4,3,1
108,7,-15,0
109,20,-18,0
110,5,2,0
111,9,-16,0
112,10,-12,0
113,12,-18,0
114,12,-23,0
115,4,-10,0
116,-1,3,1
117,14,-14,0
118,-4,-9,0
119,2,-6,0
120,18,-26,0
121,11,-9,0
122,-9,3,1
123,23,-30,0
124,6,-6,0
125,4,-5,0
126,-3,-12,0
127,13,-11,0
128,18,-16,0
129,12,-18,0
130,22,-21,0
131,18,-24,0
132,30,-26,0
133,30,-19,0
134,2,-12,0
135,26,-17,0
136,12,-12,0
137,30,-30,0
138,3,-15,0
139,21,-7,0
140,12,-11,0
141,-1,-7,0
142,2,-2,0
143,30,-28,0
144,2,-4,0
145,1,-7,0
146,30,-30,0
147,22,-30,0
148,30,-16,0
149,8,-13,0
150,8,-19,0
151,5,-6,0
152,18,-15,0
153,19,-9,0
154,26,-20,0
155,1,-2,0
156,5,-7,0
157,10,-17,0
158,6,-12,0
159,18,-28,0
160,14,-12,0
161,13,-14,0
162,22,-24,0
163,-7,-7,0
164,19,-28,0
165,13,-8,0
166,11,-13,0
167,21,-20,0
168,-2,1,1
169,6,-14,0
170,15,-19,0
171,27,-30,0
172,-7,-12,0
173,8,-11,0
174,17,-15,0
175,16,-27,0
176,25,-30,0
177,16,-27,0
178,11,-16,0
179,21,-18,0
180,1,-14,0
181,10,-21,0
182,18,-20,0
183,8,-8,0
184,28,-29,0
185,30,-28,0
186,-1,2,1
187,14,-15,0
188,0,-7,0
189,30,-30,0
190,7,-6,0
191,14,-23,0
192,-4,-3,1
193,-2,-10,0
194,9,-14,0
195,15,-30,0
196,8,-20,0
197,30,-30,0
198,14,-21,0
199,7,-11,0
200,18,-19,0
201,26,-27,0
202,15,-26,0
203,7,-11,0
204,16,-13,0
205,16,-11,0
206,22,-14,0
207,6,-10,0
208,18,-19,0
209,1,0,0
210,26,-27,0
211,23,-25,0
212,1,-8,0
213,1,-8,0
214,30,-30,0
215,2,1,0
216,-5,-7,0
217,3,-6,0
218,14,-20,0
219,7,-11,0
220,10,-9,0
221,19,-25,0
222,-4,-10,0
223,18,-18,0
224,30,-30,0
225,21,-30,0
226,-1,-14,0
227,4,-14,0
228,16,-27,0
229,21,-15,0
230,3,-4,0
231,2,-4,0
232,30,-30,0
233,15,-14,0
234,-1,-6,0
235,13,-18,0
236,-3,-3,0
237,-2,-6,0
238,16,-13,0
239,-5,-2,1
240,26,-30,0
241,-12,-2,1
242,22,-23,0
243,16,-17,0
244,4,-11,0
245,15,-18,0
246,4,-8,0
247,12,-23,0
248,2,-4,0
249,30,-29,0
250,30,-30,0
251,14,-21,0
252,18,-9,0
253,4,0,0
254,11,-16,0
255,30,-30,0
256,-9,0,1
257,23,-22,0
258,25,-30,0
259,27,-27,0
260,6,-17,0
261,24,-27,0
262,-4,-4,0
263,-1,-4,0
264,-6,-7,0
265,8,0,0
266,21,-28,0
267,16,-20,0
268,30,-30,0
269,18,-21,0
270,30,-28,0
271,-1,-11,0
272,-5,-5,0
273,2,3,1
274,4,0,0
275,4,0,0
276,-4,-11,0
277,-1,-13,0
278,4,2,0
279,6,-14,0
280,18,-23,0
281,-2,-9,0
282,30,-30,0
283,30,-17,0
284,20,-19,0
285,-4,-10,0
286,-2,-5,0
287,22,-22,0
288,-4,-15,0
289,19,-21,0
290,5,-9,0
291,6,-4,0
292,4,-15,0
293,30,-30,0
294,26,-29,0
295,17,-7,0
296,26,-29,0
297,2,-7,0
298,23,-10,0
299,18,-12,0
300,-2,-10,0
301,17,-30,0
302,17,-17,0
303,5,-15,0
304,4,-2,0
305,9,-6,0
306,8,-17,0
307,15,-14,0
308,8,-10,0
309,30,-25,0
310,1,-5,0
311,23,-15,0
312,-10,-2,1
313,12,-18,0
314,17,-9,0
315,7,-2,0
316,30,-29,0
317,28,-30,0
318,6,-2,0
319,23,-30,0
320,8,-13,0
321,4,-9,0
322,13,-7,0
323,4,-9,0
324,7,-13,0
325,19,-26,0
326,12,-15,0
327,10,-23,0
328,3,-9,0
329,13,-3,0
330,3,-1,0
331,18,-26,0
332,2,-5,0
333,30,-30,0
334,6,-13,0
335,10,-9,0
336,4,-2,0
337,2,0,0
338,22,-26,0
339,1,-7,0
340,26,-26,0
341,1,-9,0
342,30,-30,0
343,15,-25,0
344,30,-30,0
345,17,-15,0
346,29,-28,0
347,9,-20,0
348,14,0,0
349,-1,-11,0
350,15,-3,0
351,19,-24,0
352,24,-10,0
353,6,-14,0
354,-3,-9,0
355,12,-19,0
356,13,-28,0
357,10,-11,0
358,8,-4,0
359,3,-3,0
360,-1,-4,0
361,-1,-2,0
362,27,-24,0
363,10,-6,0
364,30,-30,0
365,23,-12,0
366,26,-30,0
367,15,-22,0
368,19,-12,0
369,6,2,0
370,2,-13,0
371,12,-17,0
372,19,-6,0
373,12,-5,0
374,12,-15,0
375,19,-13,0
376,8,-15,0
377,7,-1,0
378,0,-13,0
379,17,-14,0
380,19,-30,0
381,7,-12,0
382,9,-11,0
383,6,-11,0
384,15,-8,0
385,4,-3,0
386,4,-11,0
387,15,-14,0
388,8,2,0
389,27,-25,0
390,15,-16,0
391,9,-10,0
392,5,-17,0
393,15,-15,0
394,24,-22,0
395,3,-9,0
