sample_index,Class_0,Class_1,predicted_label
0,19,-30,0
1,11,-6,0
2,13,-9,0
3,10,-13,0
4,-5,8,1
5,-2,5,1
6,11,-5,0
7,7,-9,0
8,24,-28,0
9,20,-4,0
10,5,-11,0
11,16,-9,0
12,18,-15,0
13,30,-18,0
14,10,1,0
15,0,-4,0
16,4,-3,0
17,11,-1,0
18,18,-27,0
19,2,0,0
20,23,-19,0
21,17,1,0
22,4,-3,0
23,8,-11,0
24,3,-15,0
25,18,-14,0
26,8,-21,0
27,-3,-3,0
28,0,-10,0
29,-7,10,1
30,27,-15,0
31,13,-13,0
32,2,-8,0
33,-1,-7,0
34,22,-25,0
35,21,-5,0
36,26,-23,0
37,16,-12,0
38,-1,-6,0
39,23,-18,0
40,7,-9,0
41,13,-8,0
42,14,-7,0
43,5,10,1
44,0,-8,0
45,9,-10,0
46,3,-5,0
47,10,-13,0
48,13,-12,0
49,23,-6,0
50,20,-8,0
51,6,-22,0
52,7,2,0
53,1,0,0
54,24,-22,0
55,5,-2,0
56,-3,6,1
57,-6,0,1
58,11,-6,0
59,13,-24,0
60,7,-9,0
61,8,-7,0
62,24,-18,0
63,7,-7,0
64,-1,-12,0
65,2,-10,0
66,7,-8,0
67,13,-17,0
68,-3,-15,0
69,4,-1,0
70,15,-21,0
71,30,-21,0
72,6,0,0
73,7,-16,0
74,-6,3,1
75,11,-12,0
76,3,-4,0
77,19,-11,0
78,29,-30,0
79,5,-1,0
80,30,-29,0
81,30,-20,0
82,3,-5,0
83,3,-7,0
84,4,-7,0
85,25,-17,0
86,-3,4,1
87,28,-29,0
88,7,-6,0
89,6,-7,0
90,2,-6,0
91,11,-17,0
92,3,-2,0
93,21,-13,0
94,3,-3,0
95,4,-5,0
96,2,-2,0
97,30,-28,0
98,-3,-15,0
99,1,-2,0
100,10,-1,0
101,8,-17,0
102,8,-6,0
103,21,-25,0
104,4,-2,0
105,8,-3,0
106,0,-5,0
107,13,0,0
108,2,2,0
109,14,-16,0
110,7,-11,0
111,5,-3,0
112,2,-9,0
113,21,-2,0
114,3,-4,0
115,13,-10,0
116,6,-8,0
117,21,-18,0
118,12,-3,0
119,3,-12,0
120,3,-10,0
121,9,-6,0
122,-4,-1,1
123,30,-15,0
124,14,-16,0
125,1,3,1
126,17,-18,0
127,13,1,0
128,12,-11,0
129,16,-8,0
130,-1,-7,0
131,9,-10,0
132,15,-16,0
133,17,-15,0
134,11,-4,0
135,15,-16,0
136,5,-7,0
137,30,-26,0
138,7,-3,0
139,9,-10,0
140,15,-3,0
141,10,-4,0
142,4,-4,0
143,28,-23,0
144,9,-3,0
145,1,-6,0
146,30,-26,0
147,21,-16,0
148,22,-17,0
149,-4,-4,0
150,3,-1,0
151,1,1,0
152,11,-10,0
153,11,-9,0
154,25,-15,0
155,8,-6,0
156,9,-22,0
157,6,-3,0
158,2,-14,0
159,11,-20,0
160,5,-11,0
161,-2,-1,1
162,22,-24,0
163,2,-13,0
164,17,-13,0
165,7,-1,0
166,-4,-4,0
167,9,-6,0
168,2,-6,0
169,28,-14,0
170,15,-12,0
171,18,-3,0
172,8,-5,0
173,16,0,0
174,8,-11,0
175,5,-18,0
176,7,-16,0
177,7,-21,0
178,12,-5,0
179,14,-23,0
180,22,-14,0
181,10,-8,0
182,10,-16,0
183,2,5,1
184,22,-9,0
185,30,-30,0
186,-1,-1,0
187,-3,-12,0
188,7,-10,0
189,17,-22,0
