sample_index,Class_0,Class_1,predicted_label
0,10,-5,0
1,15,-6,0
2,15,-8,0
3,15,-10,0
4,7,1,0
5,10,8,0
6,6,-1,0
7,-1,-11,0
8,11,-15,0
9,4,-6,0
10,15,-7,0
11,15,-3,0
12,4,-6,0
13,15,-15,0
14,-3,-10,0
15,8,2,0
16,4,-10,0
17,-8,10,1
18,15,-12,0
19,0,4,1
20,10,-12,0
21,13,-6,0
22,5,-2,0
23,-3,7,1
24,9,4,0
25,11,-11,0
26,0,-2,0
27,-7,0,1
28,-3,6,1
29,6,-7,0
30,15,-15,0
31,7,-7,0
32,0,0,0
33,12,-1,0
34,15,-15,0
35,15,-11,0
36,7,-8,0
37,0,-2,0
38,1,-4,0
39,15,-15,0
40,15,-9,0
41,2,-4,0
42,7,1,0
43,4,15,1
44,6,-6,0
45,11,-2,0
46,4,4,0
47,8,-3,0
48,15,-7,0
49,15,4,0
50,10,-4,0
51,-6,0,1
52,9,10,1
53,15,0,0
54,15,-7,0
55,3,-5,0
56,8,4,0
57,12,5,0
58,9,-15,0
59,0,-15,0
60,8,-10,0
61,2,-12,0
62,7,-13,0
63,10,-15,0
64,3,-1,0
65,7,-3,0
66,15,-11,0
67,15,-13,0
68,14,0,0
69,-1,8,1
70,15,-7,0
71,15,-15,0
72,2,-7,0
73,12,-1,0
74,3,9,1
75,7,-12,0
76,9,-5,0
77,3,-4,0
78,15,-12,0
79,2,0,0
80,15,-15,0
81,0,-6,0
82,4,-5,0
83,15,-15,0
84,4,-11,0
85,15,-2,0
86,5,-12,0
87,7,-15,0
88,15,2,0
89,-1,-1,0
90,5,1,0
91,11,-5,0
92,4,-7,0
93,15,0,0
94,15,-3,0
95,12,-6,0
96,7,-1,0
97,15,-15,0
98,15,-10,0
99,8,-15,0
100,15,-3,0
101,0,1,1
102,4,-6,0
103,15,-9,0
104,8,-4,0
105,15,-8,0
106,-2,2,1
107,4,8,1
108,-1,12,1
109,15,-9,0
110,3,-5,0
111,3,-5,0
112,15,-2,0
113,0,1,1
114,4,-1,0
115,9,-15,0
116,2,-7,0
117,15,-7,0
118,6,-15,0
119,2,-7,0
120,8,-2,0
121,8,-3,0
122,0,-1,0
123,1,-8,0
124,9,-14,0
125,11,-11,0
126,15,-13,0
127,12,-1,0
128,8,-15,0
129,12,-11,0
130,11,-11,0
131,-3,1,1
132,9,-9,0
133,5,1,0
134,9,2,0
135,9,-3,0
136,14,-3,0
137,15,-15,0
138,0,6,1
139,15,-6,0
140,11,-6,0
141,2,-6,0
142,4,7,1
143,15,-10,0
144,-11,2,1
145,9,2,0
146,15,-15,0
147,6,-5,0
148,15,-2,0
149,-2,5,1
150,-9,6,1
151,15,2,0
152,2,1,0
153,-2,6,1
154,15,-15,0
155,6,-14,0
156,15,-8,0
157,12,-2,0
158,15,-15,0
159,12,-1,0
160,12,13,1
161,1,-12,0
162,15,-8,0
163,-3,9,1
164,-2,3,1
165,8,-2,0
166,-11,4,1
167,9,3,0
168,1,-8,0
169,12,5,0
170,15,-15,0
171,12,-15,0
172,0,-11,0
173,15,-7,0
174,9,-8,0
175,14,-8,0
176,5,3,0
177,5,2,0
178,2,4,1
179,15,3,0
180,15,13,0
181,-2,13,1
182,15,-15,0
183,15,6,0
184,-1,-2,0
185,15,-14,0
186,9,-12,0
187,9,1,0
188,12,-7,0
189,8,-6,0
190,1,5,1
191,12,4,0
192,15,1,0
193,-4,5,1
194,10,-7,0
195,5,-1,0
196,-15,-3,1
197,9,-8,0
198,12,-5,0
199,10,-10,0
200,3,-11,0
201,15,-15,0
202,9,-10,0
203,-10,4,1
204,8,-7,0
205,9,-6,0
206,15,-15,0
207,11,-8,0
208,15,-15,0
209,0,10,1
210,6,-15,0
211,7,-15,0
212,7,3,0
213,0,-4,0
214,15,-15,0
215,0,-5,0
216,10,-13,0
217,3,15,1
218,14,-12,0
219,-1,6,1
220,-2,-9,0
221,15,0,0
222,0,4,1
223,15,-15,0
224,12,-4,0
225,6,-9,0
226,-10,-1,1
227,4,-7,0
228,6,-3,0
229,13,0,0
230,9,-1,0
231,6,7,1
232,13,-15,0
233,4,0,0
234,3,-5,0
235,10,-8,0
236,12,-7,0
237,5,-3,0
238,8,-4,0
239,1,15,1
240,15,-15,0
241,0,-2,0
242,13,-7,0
243,8,-10,0
244,15,-5,0
245,5,14,1
246,1,-5,0
247,15,-15,0
248,13,6,0
249,15,-15,0
250,14,-7,0
251,14,-3,0
252,7,-7,0
253,2,-7,0
254,9,-7,0
255,15,-11,0
256,-15,6,1
257,7,3,0
258,0,4,1
259,7,3,0
260,7,-6,0
261,15,-4,0
262,4,5,1
263,12,-9,0
264,15,-5,0
265,1,-6,0
266,15,-15,0
267,15,-15,0
268,14,-7,0
269,10,-1,0
270,11,-15,0
271,10,-1,0
272,7,-11,0
273,3,13,1
274,-2,-1,1
275,4,-6,0
276,13,5,0
277,3,-1,0
278,6,4,0
279,2,0,0
280,15,-9,0
281,15,-2,0
282,15,-4,0
283,-1,-9,0
284,6,-5,0
285,15,-3,0
286,5,-3,0
287,9,3,0
288,1,-8,0
289,1,6,1
290,15,0,0
291,2,3,1
292,13,5,0
293,4,-11,0
294,15,-8,0
295,10,-4,0
296,15,-15,0
297,5,7,1
298,15,-2,0
299,-3,15,1
300,2,1,0
301,15,-8,0
302,12,-3,0
303,13,-9,0
304,3,4,1
305,11,3,0
306,5,-10,0
307,3,-6,0
308,8,-1,0
309,9,-1,0
310,13,-11,0
311,11,5,0
312,-11,4,1
313,11,-15,0
314,2,0,0
315,-7,9,1
316,2,-7,0
317,15,2,0
318,-7,13,1
319,15,-4,0
320,3,10,1
321,15,-6,0
322,10,6,0
323,11,-9,0
324,11,15,1
325,14,-14,0
326,15,-15,0
327,-4,2,1
328,10,9,0
329,15,-12,0
330,-4,-1,1
331,5,2,0
332,-14,3,1
333,4,-12,0
334,0,-11,0
335,-4,12,1
336,4,-11,0
337,15,-15,0
338,15,-14,0
339,8,-15,0
340,-7,-4,1
341,5,-15,0
342,15,-15,0
343,15,-8,0
344,15,-15,0
345,3,-10,0
346,10,-9,0
347,3,1,0
348,3,-9,0
349,13,-13,0
350,4,0,0
351,-2,-7,0
352,4,-14,0
353,-6,4,1
354,-5,-3,1
355,0,-4,0
356,10,-10,0
357,-6,5,1
358,15,-9,0
359,3,1,0
360,0,-10,0
361,1,15,1
362,9,-15,0
363,9,-1,0
364,10,-15,0
365,8,0,0
366,12,-7,0
367,7,-15,0
368,12,-15,0
369,8,-15,0
370,11,-9,0
371,3,-3,0
372,11,-10,0
373,6,-7,0
374,3,-10,0
375,15,-1,0
376,9,-10,0
377,6,-11,0
378,-2,-4,0
379,13,-15,0
380,-2,1,1
381,12,-15,0
382,9,-14,0
383,4,2,0
384,15,-9,0
385,-1,5,1
386,5,-6,0
387,5,-7,0
388,11,-7,0
389,6,-13,0
390,7,0,0
391,-6,7,1
392,7,-13,0
393,3,1,0
394,4,-4,0
395,8,-12,0
396,10,-8,0
397,12,-15,0
398,6,-10,0
399,15,-5,0
400,15,-2,0
401,0,0,0
402,15,-8,0
403,14,-3,0
404,11,-8,0
405,11,4,0
406,15,-15,0
407,12,0,0
408,1,5,1
409,5,9,1
410,0,-8,0
411,-4,-13,0
412,4,4,0
413,15,0,0
414,5,-7,0
415,6,-10,0
416,3,3,0
417,15,-7,0
418,15,-7,0
419,7,-12,0
420,15,-11,0
421,3,-1,0
422,12,6,0
423,3,-15,0
424,9,-7,0
425,15,0,0
426,15,-6,0
427,15,-12,0
428,6,-2,0
429,14,-11,0
430,8,-8,0
