sample_index,Class_0,Class_1,predicted_label
0,20,-20,0
1,5,-6,0
2,-2,-3,0
3,3,2,0
4,6,-7,0
5,0,0,0
6,5,-11,0
7,8,-6,0
8,20,-20,0
9,7,-4,0
10,7,-4,0
11,-1,3,1
12,11,-16,0
13,15,-16,0
14,4,2,0
15,2,7,1
16,9,-8,0
17,3,-1,0
18,20,-20,0
19,4,-3,0
20,19,-18,0
21,7,-12,0
22,6,0,0
23,14,-11,0
24,14,-3,0
25,9,-9,0
26,18,-15,0
27,-1,-1,0
28,-1,-1,0
29,-2,-7,0
30,7,-5,0
31,15,-13,0
32,3,-3,0
33,-1,1,1
34,20,-15,0
35,11,-9,0
36,20,-11,0
37,5,1,0
38,4,-5,0
39,18,-16,0
40,7,-10,0
41,5,-10,0
42,12,-13,0
43,6,2,0
44,5,-3,0
45,12,-9,0
46,11,-6,0
47,8,-3,0
48,12,-13,0
49,4,2,0
50,10,-8,0
51,0,-5,0
52,1,1,0
53,1,-1,0
54,16,-10,0
55,7,-3,0
56,2,-1,0
57,3,1,0
58,6,-7,0
59,13,-11,0
60,9,-4,0
61,9,-10,0
62,19,-20,0
63,3,-6,0
64,13,-10,0
65,20,-18,0
66,9,-5,0
67,4,-6,0
68,7,-10,0
69,-4,-5,0
70,20,-14,0
71,20,-20,0
72,4,-2,0
73,6,-9,0
74,2,2,0
75,11,-8,0
76,1,0,0
77,17,-18,0
78,20,-12,0
79,5,-3,0
80,20,-20,0
81,15,-16,0
82,1,1,0
83,7,-6,0
84,-3,2,1
85,18,-18,0
86,2,-4,0
87,20,-20,0
88,7,-9,0
89,-1,3,1
90,2,-5,0
91,18,-20,0
92,6,-1,0
93,13,-9,0
94,2,-2,0
95,1,0,0
96,3,1,0
97,20,-20,0
98,-2,-5,0
99,3,-7,0
100,8,-3,0
101,-1,-4,0
102,8,-14,0
103,3,-3,0
104,2,-6,0
105,1,-3,0
106,1,1,0
107,7,-1,0
108,8,-2,0
109,13,-20,0
110,1,-4,0
111,1,-1,0
112,3,-2,0
113,16,-15,0
114,4,0,0
115,4,4,0
116,5,-4,0
117,10,-11,0
118,7,-1,0
119,7,-3,0
120,0,3,1
121,-1,1,1
122,-2,-1,1
123,19,-12,0
124,7,-3,0
125,2,2,0
126,5,-2,0
127,4,-7,0
128,9,-13,0
129,6,-9,0
130,0,1,1
131,13,-9,0
132,20,-20,0
133,17,-11,0
134,3,0,0
135,4,-3,0
136,-1,1,1
137,6,-3,0
138,9,-5,0
139,7,-9,0
140,4,1,0
141,-2,3,1
142,4,-3,0
143,2,-10,0
144,-2,0,1
145,3,-4,0
146,13,-18,0
147,8,-5,0
148,7,-14,0
149,1,-1,0
150,0,1,1
151,7,2,0
152,14,-12,0
153,2,-1,0
154,6,-2,0
155,8,-2,0
156,2,-2,0
157,-4,2,1
158,4,-8,0
159,7,-2,0
160,11,-5,0
161,7,-5,0
162,0,-6,0
163,5,-3,0
164,9,-7,0
165,10,-14,0
166,-1,-5,0
167,9,-8,0
168,3,-1,0
169,14,-9,0
170,3,2,0
171,5,-3,0
172,1,0,0
173,0,-4,0
174,3,-3,0
175,20,-14,0
176,7,-5,0
177,10,-8,0
178,9,-19,0
179,6,-14,0
180,4,-7,0
181,7,-2,0
182,5,-1,0
183,2,-2,0
184,9,-5,0
185,20,-20,0
186,2,4,1
187,5,-4,0
188,-1,-1,0
189,13,-11,0
190,8,-2,0
191,1,-2,0
192,1,-2,0
193,-3,-3,0
194,1,-4,0
195,14,-9,0
196,4,-2,0
197,8,-9,0
198,11,-10,0
199,2,-5,0
200,9,-8,0
201,17,-11,0
202,4,0,0
203,6,-1,0
204,10,-9,0
205,20,-20,0
206,8,-13,0
207,1,-2,0
208,15,-20,0
209,2,-6,0
210,16,-13,0
211,20,-18,0
212,5,-4,0
213,-3,-2,1
214,13,-14,0
215,6,-1,0
216,3,-4,0
217,0,-1,0
218,17,-17,0
219,1,4,1
220,4,-4,0
221,15,-18,0
222,7,-5,0
223,16,-14,0
224,8,-12,0
225,1,3,1
226,4,-4,0
227,2,-2,0
228,14,-14,0
229,4,-5,0
230,5,-3,0
231,4,-4,0
232,9,-6,0
233,2,-2,0
234,5,3,0
235,19,-17,0
236,-2,2,1
237,6,1,0
238,10,-11,0
239,1,0,0
240,20,-20,0
241,1,-4,0
242,3,-1,0
243,6,-2,0
244,4,-4,0
245,-1,-1,0
246,2,-3,0
247,20,-16,0
248,4,-2,0
249,18,-18,0
250,10,-15,0
251,-1,3,1
252,-1,-2,0
253,3,-4,0
254,3,0,0
255,20,-13,0
256,6,-2,0
257,20,-20,0
258,12,-15,0
259,12,-10,0
260,2,-3,0
261,5,0,0
262,-1,1,1
263,4,-6,0
264,3,1,0
265,-1,0,1
266,11,-11,0
267,3,-4,0
268,16,-20,0
269,-4,1,1
270,4,-2,0
271,3,-5,0
272,4,-6,0
273,-2,0,1
274,1,-4,0
275,1,-1,0
276,4,-4,0
277,1,-4,0
278,1,-3,0
279,4,2,0
280,8,-6,0
281,2,-2,0
282,19,-17,0
283,12,-2,0
284,0,-1,0
285,0,-1,0
286,4,-3,0
287,3,1,0
288,1,-1,0
289,10,-5,0
290,3,0,0
291,0,0,0
292,5,-1,0
293,16,-11,0
294,20,-20,0
295,7,-1,0
296,12,-8,0
297,-1,-3,0
298,10,-13,0
299,5,0,0
300,1,-3,0
301,12,-5,0
302,17,-11,0
303,14,-10,0
304,1,-2,0
305,2,-1,0
306,2,1,0
307,14,-13,0
308,2,-1,0
309,14,-9,0
310,4,-6,0
311,5,-7,0
312,3,-4,0
313,7,-4,0
314,8,-5,0
315,0,-3,0
316,19,-19,0
317,4,-5,0
318,4,-2,0
319,20,-18,0
320,7,-7,0
321,3,-1,0
322,3,-3,0
323,3,-5,0
324,1,0,0
325,15,-9,0
326,9,-10,0
327,3,-2,0
328,7,-1,0
329,14,-11,0
330,0,-7,0
331,6,-2,0
332,4,-2,0
333,16,-15,0
334,16,-12,0
335,15,-11,0
336,20,-20,0
337,2,4,1
338,5,-4,0
339,1,2,1
340,1,0,0
341,1,-5,0
342,17,-11,0
343,12,-11,0
344,4,-4,0
345,6,-6,0
346,16,-11,0
347,5,-2,0
348,16,-7,0
349,2,-4,0
350,-1,6,1
351,20,-16,0
352,4,-4,0
353,0,-4,0
354,3,-3,0
355,5,-8,0
356,18,-20,0
357,4,-4,0
358,4,0,0
359,2,-1,0
360,2,0,0
361,-2,0,1
362,18,-16,0
363,2,-1,0
364,17,-16,0
365,16,-15,0
366,20,-20,0
367,2,-6,0
368,12,-11,0
369,6,-6,0
370,5,-4,0
371,7,-9,0
372,0,5,1
373,0,-1,0
374,6,-2,0
375,7,1,0
376,4,-9,0
377,7,-10,0
378,0,-2,0
379,10,-10,0
380,10,-5,0
381,0,-2,0
382,0,-2,0
383,15,-18,0
384,0,3,1
385,4,-2,0
386,8,-3,0
387,6,-1,0
388,14,-19,0
389,4,-2,0
390,17,-14,0
391,4,0,0
392,7,-4,0
393,6,-11,0
394,6,-7,0
395,20,-20,0
396,15,-7,0
397,16,-20,0
398,9,-8,0
399,1,-3,0
400,3,-12,0
401,8,1,0
402,4,0,0
403,2,-1,0
404,6,-4,0
405,4,-8,0
406,20,-13,0
407,3,-1,0
408,0,5,1
409,0,-2,0
410,1,5,1
411,4,-1,0
412,4,-1,0
413,-2,-3,0
414,4,1,0
415,7,-11,0
416,0,-2,0
417,18,-18,0
418,-1,-2,0
419,20,-20,0
420,1,-5,0
421,15,-4,0
422,5,0,0
423,20,-20,0
424,18,-14,0
425,18,-15,0
426,5,-2,0
427,20,-20,0
428,3,-2,0
429,4,0,0
430,2,-6,0
431,7,-9,0
432,20,-20,0
433,-1,1,1
434,-3,-5,0
435,10,-6,0
436,9,1,0
437,2,-4,0
438,6,-7,0
439,6,-1,0
440,1,1,0
441,0,-2,0
442,7,-3,0
443,4,-3,0
444,2,-2,0
445,8,1,0
446,12,-5,0
447,15,-15,0
448,5,-3,0
449,20,-20,0
450,5,4,0
451,2,-4,0
452,0,-4,0
453,4,-3,0
454,5,-2,0
455,13,-6,0
456,20,-19,0
457,20,-20,0
458,19,-15,0
459,16,-7,0
460,9,-7,0
461,0,-5,0
462,6,-1,0
463,5,-1,0
464,8,-12,0
465,3,-4,0
466,4,-1,0
467,1,0,0
468,14,-20,0
469,1,-8,0
470,11,-14,0
471,6,-15,0
472,4,0,0
473,1,-1,0
474,8,-6,0
475,-2,3,1
476,14,-12,0
477,4,1,0
478,2,-3,0
479,10,-6,0
480,4,-4,0
481,5,-1,0
482,-1,0,1
483,20,-20,0
484,9,-9,0
485,3,-2,0
486,3,-1,0
487,15,-14,0
488,20,-20,0
489,4,-9,0
490,20,-18,0
491,1,-6,0
492,4,-3,0
493,2,-2,0
494,4,-5,0
495,2,2,0
496,9,-6,0
497,15,-14,0
498,3,-5,0
499,9,-11,0
500,18,-20,0
501,-5,-3,1
502,1,-2,0
503,0,-2,0
504,20,-20,0
505,7,-10,0
506,20,-20,0
507,20,-17,0
508,3,-4,0
509,0,-3,0
510,16,-16,0
511,20,-20,0
512,5,1,0
513,2,-2,0
514,-2,-1,1
515,20,-20,0
516,1,-2,0
517,2,1,0
518,-2,-3,0
519,1,-2,0
520,14,-20,0
521,17,-20,0
522,8,-6,0
523,7,-4,0
524,18,-13,0
525,6,-11,0
526,7,-2,0
527,6,-1,0
528,11,-19,0
529,14,-5,0
530,7,-12,0
531,16,-18,0
532,20,-20,0
533,3,-5,0
534,1,1,0
535,3,0,0
536,10,-8,0
537,3,-2,0
538,7,-2,0
539,2,-3,0
540,14,-9,0
541,20,-20,0
542,1,-5,0
543,-1,-1,0
544,4,-11,0
545,20,-20,0
546,11,-14,0
547,4,-3,0
548,20,-18,0
549,3,2,0
550,3,-3,0
551,2,-2,0
552,13,-17,0
553,1,1,0
554,3,-2,0
555,20,-20,0
556,6,-1,0
557,7,-4,0
558,0,-3,0
559,2,-1,0
560,9,-8,0
561,13,-17,0
562,5,-3,0
563,1,-6,0
564,17,-15,0
565,17,-19,0
566,20,-20,0
567,3,-7,0
568,1,-2,0
569,6,-9,0
570,3,-10,0
571,3,-6,0
572,3,1,0
573,-1,3,1
574,-1,1,1
575,4,-1,0
576,3,-9,0
577,-1,0,1
578,1,2,1
579,5,-3,0
580,4,-4,0
581,12,-9,0
582,3,-5,0
583,7,-5,0
584,8,-5,0
585,5,-5,0
586,9,-5,0
587,2,0,0
588,19,-20,0
589,9,-4,0
590,3,-5,0
591,1,-1,0
592,0,-5,0
593,0,2,1
594,7,-3,0
595,2,-3,0
596,2,-2,0
597,11,-12,0
598,3,2,0
599,13,-11,0
600,1,-1,0
601,6,-5,0
602,-3,-2,1
603,1,-1,0
604,6,0,0
605,11,-6,0
606,9,-5,0
607,0,-1,0
608,-5,1,1
609,8,-6,0
610,20,-20,0
611,4,-9,0
612,18,-20,0
613,-2,-4,0
614,2,-5,0
615,9,-9,0
616,2,-1,0
617,20,-18,0
618,16,-18,0
619,12,-12,0
620,2,0,0
621,2,-5,0
622,7,-4,0
623,20,-20,0
624,3,3,0
625,4,-1,0
626,7,-7,0
627,7,-1,0
628,2,-2,0
629,1,-5,0
630,2,1,0
631,7,-10,0
632,3,-6,0
633,4,-4,0
634,3,-4,0
635,9,-15,0
636,0,-2,0
637,1,-4,0
638,13,-6,0
639,-3,-3,0
640,8,-7,0
641,20,-17,0
642,12,-2,0
643,9,-6,0
644,6,-1,0
645,4,-4,0
646,0,1,1
647,3,-5,0
648,5,2,0
649,0,-2,0
650,6,-7,0
651,2,-3,0
652,1,1,0
653,8,-8,0
654,19,-19,0
655,5,-3,0
656,9,-5,0
657,6,-3,0
658,6,1,0
659,-1,-1,0
660,-1,4,1
661,12,-10,0
662,4,1,0
663,3,2,0
664,0,1,1
665,5,-9,0
666,7,-4,0
667,8,-6,0
668,-1,-5,0
669,5,-4,0
670,9,1,0
671,0,-2,0
672,1,0,0
673,4,0,0
674,1,-5,0
675,0,-4,0
676,7,-7,0
677,3,2,0
678,4,0,0
679,4,1,0
680,2,-4,0
681,13,-13,0
682,0,-3,0
683,0,-1,0
684,0,1,1
685,5,-7,0
686,2,2,0
687,0,-4,0
688,2,2,0
689,1,-4,0
690,0,-6,0
691,5,-6,0
692,0,-2,0
693,6,0,0
694,4,-6,0
695,7,-9,0
696,-5,-5,0
697,2,-5,0
698,0,-1,0
699,5,-9,0
700,7,-3,0
701,20,-18,0
702,20,-20,0
703,4,-2,0
704,15,-7,0
705,-3,-3,0
706,5,-1,0
707,4,-1,0
708,6,-1,0
709,6,-2,0
710,17,-19,0
711,17,-14,0
712,3,-4,0
713,20,-9,0
714,10,-14,0
715,8,-1,0
716,15,-11,0
717,1,-2,0
718,14,-9,0
719,4,1,0
720,3,-8,0
721,4,1,0
722,6,-4,0
723,7,-3,0
724,1,-4,0
725,5,-3,0
726,-1,-5,0
727,12,-12,0
728,20,-20,0
729,3,-7,0
730,-1,1,1
731,5,2,0
732,7,-4,0
733,8,-12,0
