sample_index,Class_0,Class_1,predicted_label
0,30,-30,0
1,11,-11,0
2,9,-17,0
3,2,4,1
4,4,-7,0
5,-3,3,1
6,17,-22,0
7,-2,-1,1
8,30,-30,0
9,9,-7,0
10,12,-20,0
11,1,-3,0
12,28,-19,0
13,30,-30,0
14,8,-8,0
15,-5,-3,1
16,30,-28,0
17,10,-19,0
18,30,-30,0
19,16,-18,0
20,30,-30,0
21,25,-24,0
22,16,-10,0
23,17,-21,0
24,12,-6,0
25,22,-13,0
26,30,-30,0
27,2,-3,0
28,-7,9,1
29,16,-6,0
30,11,-12,0
31,28,-30,0
32,-2,-2,0
33,-3,0,1
34,30,-30,0
35,30,-27,0
36,24,-21,0
37,30,-30,0
38,14,-17,0
39,30,-30,0
40,16,-7,0
41,16,-15,0
42,30,-30,0
43,-2,3,1
44,7,-14,0
45,0,-16,0
46,14,-21,0
47,16,-16,0
48,18,-21,0
49,22,-8,0
50,22,-26,0
51,11,-12,0
52,10,-1,0
53,8,-6,0
54,22,-28,0
55,11,-4,0
56,-4,3,1
57,8,-7,0
58,0,-7,0
59,30,-30,0
60,12,-21,0
61,14,-12,0
62,30,-30,0
63,23,-12,0
64,23,-30,0
65,30,-30,0
66,11,-13,0
67,28,-27,0
68,22,-13,0
69,1,-13,0
70,30,-30,0
71,30,-30,0
72,-1,-8,0
73,28,-19,0
74,2,5,1
75,30,-30,0
76,14,-17,0
77,30,-30,0
78,30,-30,0
79,6,-8,0
80,30,-30,0
81,30,-30,0
82,-5,3,1
83,-1,10,1
84,9,-2,0
85,30,-30,0
86,19,-11,0
87,30,-30,0
88,14,-14,0
89,-3,2,1
90,6,-10,0
91,27,-30,0
92,1,-9,0
93,21,-23,0
94,6,-10,0
95,9,-4,0
96,-9,4,1
97,30,-30,0
98,11,-19,0
99,-4,-3,1
100,1,2,1
101,10,-6,0
102,27,-30,0
103,13,-2,0
104,5,-4,0
105,6,-8,0
106,5,-4,0
107,17,3,0
108,16,-12,0
109,30,-30,0
110,8,-14,0
111,4,-11,0
112,9,-16,0
113,30,-21,0
114,16,-21,0
115,5,-4,0
116,24,-4,0
117,27,-17,0
118,14,-12,0
119,6,-6,0
120,17,-16,0
121,12,-18,0
122,6,-3,0
123,23,-23,0
124,11,-18,0
125,3,-1,0
126,3,-8,0
127,5,-17,0
128,16,-27,0
129,30,-22,0
130,3,-6,0
131,15,-11,0
132,30,-30,0
133,21,-15,0
134,1,7,1
135,17,-6,0
136,14,-7,0
137,5,-20,0
138,15,-15,0
139,7,-19,0
140,6,1,0
141,-6,-2,1
142,10,-20,0
143,15,-16,0
144,-8,-2,1
145,10,-3,0
146,30,-30,0
147,11,-11,0
148,21,-21,0
149,6,-6,0
150,5,-9,0
151,-4,-4,0
152,19,-21,0
153,-1,-6,0
154,3,-16,0
155,3,3,0
156,6,1,0
157,-1,5,1
158,8,-13,0
159,16,-19,0
160,22,-16,0
161,23,-12,0
162,14,-12,0
163,30,-23,0
164,30,-19,0
165,18,-18,0
166,20,-6,0
167,25,-22,0
168,7,-12,0
169,30,-25,0
170,4,-1,0
171,30,-23,0
172,11,-12,0
173,3,3,0
174,21,-21,0
175,30,-26,0
176,23,-25,0
177,17,-13,0
178,30,-24,0
179,9,-11,0
180,16,-11,0
181,9,-12,0
182,4,-5,0
183,11,-7,0
184,15,-11,0
185,30,-30,0
186,2,-10,0
187,-1,-10,0
188,15,-13,0
189,25,-30,0
190,8,-8,0
191,15,-17,0
192,1,1,0
193,10,-7,0
194,0,1,1
195,30,-24,0
196,10,-19,0
197,23,-19,0
198,29,-30,0
199,9,-10,0
200,7,-6,0
201,30,-29,0
202,27,-22,0
203,13,-3,0
204,6,-5,0
205,30,-30,0
206,29,-30,0
207,0,-2,0
208,30,-30,0
209,8,-13,0
210,30,-26,0
211,30,-30,0
212,15,-26,0
213,3,8,1
214,30,-30,0
215,6,-5,0
216,12,-15,0
217,5,0,0
218,30,-30,0
219,2,2,0
220,22,-5,0
221,30,-24,0
222,30,-25,0
223,29,-26,0
224,29,-20,0
225,14,-13,0
226,7,-11,0
227,8,-11,0
228,22,-17,0
229,2,-1,0
230,6,-7,0
231,4,-6,0
232,30,-17,0
233,20,-21,0
234,3,3,0
235,30,-30,0
236,5,6,1
237,0,-3,0
238,2,6,1
239,0,2,1
240,30,-30,0
241,0,2,1
242,5,-8,0
243,24,-26,0
244,-6,-6,0
245,19,-16,0
246,18,-13,0
247,30,-30,0
248,17,-20,0
249,30,-30,0
250,30,-27,0
251,-5,2,1
252,-3,1,1
253,20,-19,0
254,10,-6,0
255,30,-30,0
256,6,2,0
257,30,-23,0
258,27,-30,0
259,15,-30,0
260,0,-7,0
261,15,-17,0
262,-6,7,1
263,30,-30,0
264,-2,3,1
265,5,9,1
266,15,-27,0
267,-7,-4,1
268,30,-30,0
269,7,-13,0
270,-3,-7,0
271,8,1,0
272,6,-5,0
273,-6,8,1
274,4,-2,0
275,3,-7,0
276,6,-3,0
277,7,-7,0
278,5,-2,0
279,18,-6,0
280,19,-9,0
281,-6,3,1
282,30,-30,0
283,23,-25,0
284,21,-23,0
285,0,8,1
286,0,-4,0
287,11,-4,0
288,4,-7,0
289,22,-7,0
290,15,-13,0
291,12,-8,0
292,3,-5,0
293,30,-30,0
294,30,-30,0
295,13,-12,0
296,26,-13,0
297,8,-10,0
298,9,-20,0
299,10,-17,0
300,15,-12,0
301,9,-13,0
302,30,-28,0
303,14,-17,0
304,3,2,0
305,14,-11,0
306,8,-8,0
307,29,-16,0
308,9,-11,0
309,25,-30,0
310,21,-26,0
311,15,-19,0
312,15,-7,0
313,13,-15,0
314,11,-13,0
315,13,-7,0
316,30,-30,0
317,11,-7,0
318,9,-3,0
319,30,-30,0
320,15,-9,0
321,-6,-1,1
322,10,-6,0
323,20,-18,0
324,3,-10,0
325,24,-21,0
326,12,-16,0
327,27,-26,0
328,20,-7,0
329,30,-30,0
330,0,1,1
331,20,-19,0
332,0,-8,0
333,30,-30,0
334,24,-13,0
335,20,-26,0
336,30,-29,0
337,-3,6,1
338,22,-16,0
339,2,-1,0
340,18,-21,0
341,17,-13,0
342,30,-30,0
343,21,-7,0
344,8,-9,0
345,25,-13,0
346,28,-30,0
347,20,-8,0
348,22,-24,0
349,16,-13,0
350,-2,3,1
351,30,-30,0
352,2,1,0
353,-2,-7,0
354,5,3,0
355,29,-20,0
356,30,-28,0
357,-1,-11,0
358,30,-23,0
359,11,-11,0
360,15,-12,0
361,-2,6,1
362,26,-30,0
363,-2,-2,0
364,30,-30,0
365,30,-25,0
366,30,-30,0
367,0,7,1
368,30,-30,0
369,25,-28,0
370,4,-6,0
371,21,-21,0
372,7,-3,0
373,-3,0,1
374,24,-13,0
375,4,-4,0
376,20,-13,0
377,7,-1,0
378,2,0,0
379,5,-8,0
380,24,-18,0
381,6,-1,0
382,6,-12,0
383,20,-12,0
384,22,-12,0
385,25,-9,0
386,13,-9,0
387,4,-9,0
388,29,-25,0
389,22,-16,0
390,22,-26,0
391,12,2,0
392,22,-14,0
393,27,-18,0
394,15,-13,0
395,30,-30,0
396,30,-28,0
397,30,-30,0
398,22,-21,0
399,6,1,0
400,18,-16,0
401,30,-28,0
402,30,-30,0
403,3,-4,0
404,1,0,0
405,8,-6,0
406,30,-30,0
407,29,-20,0
408,-1,5,1
409,30,-30,0
410,15,-1,0
411,11,-10,0
412,22,-25,0
413,8,-16,0
414,-5,1,1
415,9,-2,0
416,14,-5,0
417,30,-30,0
418,13,-21,0
419,30,-30,0
420,3,-2,0
421,18,-30,0
422,11,-5,0
423,30,-30,0
424,30,-30,0
425,30,-30,0
426,15,-7,0
427,30,-30,0
428,2,-6,0
429,6,-8,0
430,11,-11,0
431,11,-7,0
432,30,-30,0
433,9,-4,0
434,11,-8,0
435,13,-11,0
436,15,-6,0
437,5,-3,0
438,22,-16,0
439,26,-14,0
440,-2,-10,0
441,22,-22,0
442,25,-20,0
443,5,-6,0
444,17,-13,0
445,-5,-3,1
446,17,-26,0
447,30,-30,0
448,22,-17,0
449,30,-30,0
450,-4,-3,1
451,5,-2,0
452,7,9,1
453,12,-19,0
454,10,-5,0
455,7,2,0
456,30,-30,0
457,30,-30,0
458,30,-30,0
459,27,-26,0
460,22,-19,0
461,28,-27,0
462,4,-8,0
463,28,-19,0
464,27,-9,0
465,-2,-7,0
466,10,-13,0
467,9,-2,0
468,30,-30,0
469,24,-16,0
470,30,-30,0
471,15,-8,0
472,16,-13,0
473,7,0,0
474,13,-15,0
475,8,-12,0
476,25,-30,0
477,3,6,1
478,7,-3,0
479,13,-13,0
480,15,-10,0
481,14,-17,0
482,1,-8,0
483,30,-30,0
484,20,-16,0
485,-5,-3,1
486,-4,-1,1
487,30,-30,0
488,30,-30,0
489,18,-30,0
490,30,-30,0
491,20,-9,0
492,8,-16,0
493,6,1,0
494,-2,-7,0
495,8,-3,0
496,18,-14,0
497,29,-29,0
498,26,-29,0
499,25,-19,0
500,25,-25,0
501,-3,5,1
502,1,-3,0
503,8,-6,0
504,30,-30,0
505,30,-30,0
506,30,-30,0
507,30,-30,0
508,9,0,0
509,-2,5,1
510,30,-30,0
511,30,-30,0
512,0,-8,0
513,2,0,0
514,-6,-6,0
515,30,-30,0
516,4,-1,0
517,0,9,1
518,0,5,1
519,11,-4,0
520,30,-29,0
521,30,-30,0
522,15,-13,0
523,10,-11,0
524,30,-30,0
525,21,-13,0
526,-1,-1,0
527,1,3,1
528,30,-30,0
529,13,-7,0
530,16,-17,0
531,30,-30,0
532,30,-30,0
533,14,-11,0
534,-1,4,1
535,8,-9,0
536,22,-15,0
537,6,-7,0
538,17,-17,0
539,17,-22,0
540,28,-26,0
541,30,-30,0
542,19,-20,0
543,13,-9,0
544,21,-17,0
545,26,-30,0
546,26,-15,0
547,9,-30,0
548,29,-30,0
549,6,4,0
550,4,-17,0
551,14,-15,0
