sample_index,Class_0,Class_1,predicted_label
0,8,-8,0
1,-2,-3,0
2,20,-19,0
3,20,-17,0
4,3,1,0
5,-2,-2,0
6,-6,5,1
7,-9,5,1
8,-10,6,1
9,17,-20,0
10,10,-5,0
11,2,-8,0
12,8,-11,0
13,-1,-3,0
14,1,-5,0
15,0,-1,0
16,-4,7,1
17,19,-18,0
18,10,-12,0
19,-3,-2,1
20,17,-20,0
21,2,-15,0
22,0,4,1
23,1,-5,0
24,-5,2,1
25,-2,-3,0
26,7,-15,0
27,0,-2,0
28,5,2,0
29,-6,3,1
30,2,-1,0
31,-3,4,1
32,5,-8,0
33,-2,-4,0
34,-4,4,1
35,20,-18,0
36,9,-3,0
37,0,-1,0
38,-9,3,1
39,-11,7,1
40,-5,1,1
41,-7,4,1
42,-2,2,1
43,15,-15,0
44,2,-8,0
45,4,-1,0
46,-8,6,1
47,7,-6,0
48,2,-5,0
49,-2,3,1
50,0,0,0
51,0,6,1
52,0,3,1
53,7,-4,0
54,-1,2,1
55,-2,-4,0
56,0,-2,0
57,-3,3,1
58,8,-3,0
59,2,-2,0
60,1,-4,0
61,-8,0,1
62,-1,0,1
63,13,-16,0
64,0,-5,0
65,-1,0,1
66,4,-10,0
67,-1,3,1
68,-2,-3,0
69,-10,7,1
70,5,-3,0
71,3,0,0
72,14,-17,0
73,-2,4,1
74,5,0,0
75,4,-1,0
76,3,-1,0
77,-10,1,1
78,-1,1,1
79,-2,-2,0
80,4,1,0
81,-3,3,1
82,-4,-1,1
83,3,0,0
84,-2,1,1
85,-2,0,1
86,20,-18,0
87,-1,-1,0
88,9,-11,0
89,7,-1,0
90,-2,3,1
91,-2,1,1
92,5,-1,0
93,0,-2,0
94,-7,5,1
95,20,-19,0
96,20,-20,0
97,-3,-2,1
98,-6,9,1
99,-2,1,1
100,20,-17,0
101,1,0,0
102,7,-8,0
103,17,-17,0
104,-1,1,1
105,8,-1,0
106,5,-1,0
107,9,-7,0
108,3,0,0
109,0,3,1
110,3,-2,0
111,-4,8,1
112,-1,1,1
113,-2,3,1
114,3,-9,0
115,-6,5,1
116,-10,5,1
117,-5,7,1
