sample_index,Class_0,Class_1,predicted_label
0,4,-12,0
1,-9,8,1
2,20,-9,0
3,20,-20,0
4,-2,7,1
5,5,0,0
6,-6,8,1
7,-10,5,1
8,-8,6,1
9,16,-20,0
10,13,-13,0
11,6,2,0
12,16,-14,0
13,-9,6,1
14,3,0,0
15,-2,-1,1
16,-5,4,1
17,17,-20,0
18,20,-20,0
19,3,0,0
20,17,-19,0
21,20,-13,0
22,2,8,1
23,11,-9,0
24,-3,1,1
25,0,-7,0
26,2,4,1
27,-9,1,1
28,3,11,1
29,-6,-1,1
30,1,-2,0
31,-12,-13,0
32,20,-13,0
33,6,0,0
34,-10,5,1
35,20,-20,0
36,14,-20,0
37,3,3,0
38,-4,6,1
39,-11,11,1
40,2,0,0
41,1,6,1
42,0,12,1
43,20,-16,0
44,16,-17,0
45,0,-1,0
46,-3,16,1
47,9,6,0
48,-7,7,1
49,2,-1,0
50,-5,7,1
51,6,4,0
52,8,-8,0
53,18,-3,0
54,12,0,0
55,7,6,0
56,2,-19,0
57,-1,11,1
58,5,6,1
59,0,6,1
60,12,-17,0
61,4,-3,0
62,-5,8,1
63,20,-20,0
64,0,-2,0
65,0,-9,0
66,6,-9,0
67,-5,-1,1
68,2,1,0
69,-10,9,1
70,12,-6,0
71,-3,4,1
72,17,-20,0
73,-16,6,1
74,1,0,0
75,9,3,0
76,1,-9,0
77,-7,13,1
78,-4,0,1
79,-10,10,1
80,5,-8,0
81,-1,7,1
82,10,-9,0
83,2,-1,0
84,3,13,1
85,-1,7,1
86,15,-16,0
87,4,8,1
88,17,-3,0
89,9,-9,0
90,-5,4,1
91,-3,6,1
92,14,-2,0
93,3,10,1
94,-12,15,1
95,20,-14,0
96,20,-20,0
97,-3,7,1
98,-6,9,1
99,-5,1,1
100,20,-18,0
101,4,-2,0
102,12,-9,0
103,7,-13,0
104,8,2,0
105,14,-5,0
106,14,7,0
107,12,-5,0
108,4,-14,0
109,7,2,0
110,15,-5,0
111,-12,0,1
112,6,2,0
113,-9,9,1
114,5,-2,0
115,-5,5,1
116,-13,9,1
117,-1,5,1
118,-12,0,1
119,8,0,0
120,15,-13,0
121,0,-1,0
122,-2,3,1
123,20,-20,0
124,-3,8,1
125,4,-7,0
126,4,-9,0
127,11,-6,0
128,-7,-1,1
129,12,-15,0
130,9,-4,0
131,-8,2,1
132,-7,8,1
133,9,-17,0
134,10,-8,0
135,-3,0,1
136,4,-6,0
137,2,-5,0
138,0,8,1
139,-7,2,1
140,12,-20,0
141,14,-6,0
142,2,3,1
143,-4,2,1
