sample_index,Class_0,Class_1,predicted_label
1794,-18,15,1
6186,1,-10,0
3050,5,3,0
3895,-9,4,1
9598,-20,20,1
9742,10,1,0
6034,-1,-7,0
6201,-7,2,1
4040,-20,19,1
6040,-1,5,1
7211,-9,8,1
5638,4,-3,0
2419,-8,7,1
816,2,7,1
8597,0,-2,0
6983,2,4,1
577,-3,8,1
2709,-1,7,1
1526,14,-20,0
1249,-20,15,1
3934,2,12,1
2203,-6,5,1
7823,-20,20,1
524,-2,7,1
9243,-7,1,1
3301,2,-5,0
940,-5,8,1
8958,-11,-1,1
491,-10,15,1
4149,-10,12,1
142,-3,16,1
5187,-20,20,1
5127,-11,2,1
1771,-15,14,1
7188,2,-2,0
5497,7,-3,0
3874,-14,18,1
1423,-6,-1,1
6630,2,-5,0
372,2,10,1
4116,4,3,0
7409,-20,8,1
2445,-11,17,1
4214,-15,9,1
9345,17,-20,0
6311,7,-9,0
9912,-20,20,1
3659,-6,11,1
3179,-20,20,1
1016,-1,10,1
7477,2,5,1
418,5,7,1
172,0,14,1
7755,-18,18,1
1734,14,0,0
9397,20,-20,0
9383,-15,12,1
6124,13,-8,0
3991,-20,20,1
6770,-17,15,1
5679,-13,17,1
3536,-6,16,1
8515,0,-8,0
5731,2,1,0
4320,-11,16,1
6664,-20,15,1
129,-2,3,1
1616,-20,16,1
417,-20,20,1
7762,3,-3,0
147,-4,6,1
6062,-16,3,1
5508,-1,3,1
1846,-18,12,1
7731,9,-15,0
7754,-20,20,1
1070,-2,11,1
4912,-17,14,1
8484,-17,18,1
4902,11,-10,0
133,-1,0,1
4938,16,-9,0
5729,-6,8,1
5514,-9,5,1
4597,-18,12,1
8923,7,1,0
3106,-14,11,1
5895,13,-17,0
7183,7,1,0
1946,8,1,0
9078,11,-5,0
1163,-14,4,1
8883,-12,1,1
4673,6,5,0
6897,-16,18,1
7280,-20,20,1
4550,-14,6,1
1565,-5,-5,0
3761,-5,13,1
8377,-12,8,1
1061,-20,20,1
5953,-20,20,1
9888,-17,6,1
9779,-19,15,1
4031,-3,-1,1
4162,11,-13,0
1929,-18,9,1
7869,-13,11,1
3891,-14,14,1
8702,-19,19,1
7849,-15,-3,1
5517,-17,2,1
7050,-20,15,1
4869,-20,14,1
6954,-9,-2,1
4106,-1,4,1
6518,-20,20,1
4698,-12,10,1
4393,-20,20,1
6327,-3,12,1
8474,-2,-5,0
6653,-4,-11,0
7147,-9,10,1
2424,-7,17,1
4075,4,0,0
5754,-7,0,1
9370,-13,3,1
9480,-13,11,1
800,7,-13,0
7787,-20,14,1
7622,-20,20,1
1997,0,3,1
7517,3,-6,0
6250,5,6,1
9871,0,-4,0
9086,-9,20,1
9013,-7,7,1
1799,-15,18,1
8943,-20,20,1
8214,10,-6,0
2782,-20,20,1
9119,-15,10,1
8997,3,5,1
4119,4,-3,0
6432,7,-10,0
9835,-12,5,1
311,-20,17,1
823,3,5,1
6027,-12,12,1
5990,-11,6,1
9249,4,10,1
6669,0,4,1
5252,-1,-2,0
4638,-8,-3,1
9890,0,5,1
1520,-10,14,1
6880,-14,20,1
9555,-4,-4,0
4594,-12,19,1
7792,1,-1,0
7381,-19,12,1
2347,11,-10,0
8593,-4,-1,1
2887,-16,20,1
3561,8,-14,0
489,-12,2,1
5515,-7,20,1
6172,-10,9,1
3959,-6,14,1
868,2,1,0
595,-5,8,1
2254,7,-7,0
7086,-10,12,1
2166,11,-1,0
310,7,-7,0
2185,-14,-11,1
154,0,-2,0
5713,-20,14,1
1671,-20,20,1
9095,1,2,1
5855,0,2,1
51,-11,6,1
1152,-20,20,1
3232,-20,20,1
8075,-10,8,1
2522,-3,9,1
4539,-18,20,1
8741,-4,13,1
2194,-13,15,1
9666,4,7,1
4800,-14,18,1
223,-4,10,1
3805,-2,-7,0
