sample_index,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,predicted_label
2425,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
3834,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
7717,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
3384,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
4470,-30,-30,-30,-30,-30,-30,2,-30,-30,-30,6
9747,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
2794,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
1979,-30,-30,-30,-30,-17,-30,30,-30,-30,-30,6
5436,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
4828,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
5767,-30,-30,-30,-30,-30,-30,-25,-30,-30,-30,6
9761,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
1802,-30,-30,-30,-30,-30,-30,-30,-30,-2,-30,8
5045,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
4948,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
7067,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
3801,-30,-30,30,-30,-30,-30,-6,-30,-30,-30,2
7905,-30,-30,-23,-30,-30,-30,-8,-30,-30,-30,6
2982,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
5130,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
8511,-30,-30,-23,-30,-30,-30,-30,-30,-30,-30,2
3885,-30,-30,-30,-30,-30,-9,-30,30,-30,-30,7
1320,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
630,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
9291,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
5965,-30,-30,-30,-30,-21,-30,-18,-30,-30,-30,6
7072,-30,-30,-30,-30,4,-30,30,-30,-30,-30,6
9018,14,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
2604,-30,-30,-30,-30,-30,-30,-30,-30,-30,14,9
3426,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4682,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
5812,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
9083,-30,-23,-30,30,-30,-30,-30,-30,-30,-30,3
6180,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
117,-30,-30,-30,-30,-30,-30,-30,-30,26,-30,8
663,7,-30,-30,-30,-30,-30,-26,-30,-30,-30,0
7809,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
2110,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
7030,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
5660,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
6613,25,-30,-30,-30,-30,-30,-10,-30,-30,-30,0
7450,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
1435,-30,-30,-30,-30,-2,-30,-30,-30,-30,-30,4
9213,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
2124,-30,-30,-30,-30,30,-30,30,-30,-30,-30,4
5993,-30,-30,-30,-30,-30,-30,-30,-27,-30,15,9
5898,-30,-30,22,-30,-30,-30,-11,-30,-30,-30,2
9203,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
3611,-30,-30,-30,-30,-4,-30,-30,-30,-30,-30,4
1500,-30,-30,4,-30,-30,-30,24,-30,-30,-30,6
8684,-30,-30,4,-30,-30,-30,-13,-30,-30,-30,2
9644,-30,-30,-30,-30,-30,-30,-23,-30,-30,-30,6
4867,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
9487,-30,-30,-30,-30,-30,-30,-5,-30,-1,-30,8
1878,-30,-30,14,-30,-30,-30,-30,-30,-30,-30,2
7277,-30,-30,25,-30,-30,-30,-14,-30,-30,-30,2
3735,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
8087,-30,-30,-30,-30,-15,-30,30,-30,-30,-30,6
4436,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
1554,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7150,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
9770,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
9223,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
6675,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
4367,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
6770,-30,6,-30,-13,-30,-30,-30,-30,-30,-30,1
3136,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
9128,-30,-30,-30,-3,-30,-30,-30,-30,-30,-30,3
1511,-30,-30,-30,-30,-30,-30,-30,-26,-30,-30,7
4600,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
4165,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
644,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4923,-30,-30,-17,-30,-30,-30,-4,-30,-30,-30,6
3313,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
7003,-30,-30,-23,-30,-20,-30,-30,-30,-30,-30,4
3868,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
3095,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
2390,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
79,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
2367,-30,-30,-30,-30,11,-30,-4,-30,-30,-30,4
7349,-30,23,-30,-30,-30,-30,-30,-30,-30,-30,1
8729,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
3962,-30,-30,-30,-30,-30,26,-30,-30,-30,-30,5
9874,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
2001,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
1274,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
6560,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
2577,-30,-30,15,-30,-30,-30,-25,-30,-30,-30,2
7238,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7917,-30,-30,0,-30,-30,-30,-17,-30,-30,-30,2
2807,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
6552,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
1155,-30,-30,-25,-30,-30,-30,30,-30,-30,-30,6
2303,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
